project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
Liberia Urban Rural Infrastr. Rehab. Additional Financing,Liberia,Transport and storage,2014,19600000.0
Angola Learning for All Project,Angola,Basic education,2013,77468538.0642
Rural Water Supply and Sanitation Project,Morocco,Water supply and sanitation,2005,68015166.3392
MA-Second Skills and Employment DPL,Morocco,"Other social infrastructure and services|Post-secondary education|Government and civil society, general|Secondary education",2014,100000000.0
AFCC2/RI-Regional and Domestic Power Markets Development Project (Southern Africa Power Market Project: APL-1b),Africa,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2007,316620501.825
RW-PUBLIC SECTOR CAPACITY BUILDING PROJECT,Rwanda,"Communications|Government and civil society, general|Secondary education",2004,23424704.7126
HIV/AIDS and Health (MAP program),Congo,"Other social infrastructure and services|Health|Government and civil society, general",2004,22253469.4769
Multisector HIV/AIDS Control Project-ICR,Mauritania,"Other social infrastructure and services|Health|Government and civil society, general",2003,25288463.09
Small Towns Water Supply and Sanitation Project,Ghana,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general",2004,30452116.1263
additional financing under community development project,Togo,Other social infrastructure and services,2010,8885462.981180001
MORTGAGE FINANCE TECHNICAL ASSISTANCE PROJECT,Algeria,"Communications|Banking and financial services|Government and civil society, general",2002,6762451.50523
Seismic Risk Mitigation Project,Turkey,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2005,453434442.261
DRC Street Children Project,Democratic Republic of Congo,Communications|Basic education|Other social infrastructure and services,2010,10213175.8404
Agricultural Services and Producer Organizations Project,Mali,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2007,21342804.3023
Egypt Enhancing Access to Finance for Micro and Small Enterprises,Egypt,Banking and financial services,2010,306395275.213
CM-Urban and Water Development Support Project,Cameroon,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Transport and storage",2007,85371217.2094
Additional Financing for Transport Infrastructure Investment Project,Madagascar,Transport and storage,2007,16647387.3558
Second Local Government Development Project,Uganda,"Water supply and sanitation|Health|Government and civil society, general|Transport and storage|Basic education",2003,150526566.012
Nigeria National Energy Development Project,Nigeria,"Government and civil society, general|Energy generation and supply",2005,194976810.17200002
AFR:Central African Backbone - APL1B,Africa,Communications|Other social infrastructure and services,2011,50000000.0
Second Primary Education Project,Nigeria,"Post-secondary education|Health|Government and civil society, general|Basic education",2000,70272306.337
Tenth Poverty Reduction Support Credit (PRSC X),Mozambique,"Other social infrastructure and services|Mineral resources and mining|Government and civil society, general",2014,110000000.0
Rural Access Project,Yemen,"Government and civil society, general|Transport and storage",2001,56224999.5539
Northwest Mountainous and Forestry Areas Development Project,Tunisia,"Agriculture, forestry, fishing|Agriculture|Transport and storage",2002,41804245.6687
Preparedness and Control of Avian Influenza,Uganda,"Agriculture|Industry|Health|Government and civil society, general",2008,10439858.0501
Urban Development Project,Chad,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Transport and storage|General environmental protection",2007,16007103.2268
Universal Basic Education Project,Nigeria,"Secondary education|Government and civil society, general|Basic education",2002,124183200.369
LS- First Growth and Competitiveness DPG,Lesotho,"Other social infrastructure and services|Government and civil society, general",2013,20658276.8171
Second Rural Employment Project,Algeria,Forestry|Agriculture|Transport and storage,2003,114400190.169
DRC: Emergency Demobilization & Reintegration - Additional Financing,Democratic Republic of Congo,Other social infrastructure and services|Health,2008,52199290.2504
SL-Decentralized Service Delivery Program,Sierra Leone,"Water supply and sanitation|Education, level unspecified|Government and civil society, general|Health, general",2009,20699294.6198
Mali Energy Support Project,Mali,Energy generation and supply,2009,124195767.719
WATER AND SANITATION SERVICE IMPROVEMENT PROJECT,Kenya,Water supply and sanitation,2007,160071032.268
Poverty Reduction Support Operation (3),Burkina Faso,"Agriculture, forestry, fishing|Health|Government and civil society, general|Basic education",2003,60210626.4049
Rural Transport Project,Madagascar,Transport and storage,2002,98362930.9852
Fifth Poverty Reduction Support Grant-PRSC 5,Benin,"Water supply and sanitation|Industry|Health|Energy generation and supply|Government and civil society, general",2009,31048941.9297
DRC Enhancing Governance Capacity,Democratic Republic of Congo,"Government and civil society, general",2008,52199290.2504
Rural Access and Mobility Project (RAMP),Nigeria,"Government and civil society, general|Transport and storage",2008,62639148.3005
Basic Education Sector Project - Additional Financing,Burkina Faso,"Other social infrastructure and services|Basic education|Government and civil society, general|Secondary education",2008,15659787.0751
Tanzania-Transport Sector Support Project,Tanzania,Transport and storage,2010,275755747.69200003
Economic Reform Support Grant III (DPL),Burundi,"Education, level unspecified|Other social infrastructure and services|Health|Government and civil society, general|Agriculture, forestry, fishing",2009,25874118.2747
Ghana Statistics Development Program,Ghana,Communications,2011,30000000.0
LR-Agriculture & Infrastructure Development Project,Liberia,"Water supply and sanitation|Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2007,39484187.9593
Energy Community of South East Europe APL6 Project - Turkey,Turkey,Energy generation and supply,2010,224689868.49
RY Higher Education Quality Improvement Project - Additional Financing,Yemen,Post-secondary education,2014,3000000.0
Comoros Economic Governance Reform Grant,Comoros,"Communications|Agriculture|Government and civil society, general|Energy generation and supply",2014,3800000.0
Second National Water Development Project - Additional Financing (IDA),Malawi,Water supply and sanitation,2011,120000000.0
Multisectoral STI/HIV/AIDS Prevention I Project,Madagascar,"Other social infrastructure and services|Health|Government and civil society, general",2001,24988888.6906
PUBLIC WORKS AND SOCIAL DEVELOPMENT SUPPLEMENTAL PROJECT,Djibouti,Water supply and sanitation|Health|Transport and storage|Basic education,2003,6021062.64049
Mozambique Transmission Upgrade Project,Mozambique,Energy generation and supply,2007,99244040.0059
Emergency Macroeconomic and Fiscal Support Grant,Guinea,"Health|Government and civil society, general",2014,50000000.0
MW: Mining Governance and Growth Support Project,Malawi,Communications|Energy generation and supply|Mineral resources and mining|Post-secondary education,2011,25000000.0
Senegal Energy Sector Recovery Development Policy Financing,Senegal,Energy generation and supply|Mineral resources and mining,2008,83518864.4007
West and Central Africa Air Transport Safety & Security Project,Africa,"Government and civil society, general|Transport and storage",2006,36863327.265
Additional Financing for National Urban Water Sector Reform Project,Nigeria,Water supply and sanitation,2010,81705406.7235
Guinea-Bissau: Emergency Electricity and Water Rehabilitation Project,Guinea-Bissau,Water supply and sanitation|Energy generation and supply,2010,12970733.3174
CF-Health System Support Project,Central African Republic,"Health, general|Health",2012,16691343.1812
MUNICIPAL DEVELOPMENT PROJECT,Mozambique,"Government and civil society, general",2001,41981333.0003
Rwanda Demobilization and Reintegration Project,Rwanda,Other social infrastructure and services|Health,2002,30738415.9329
INSTITUTIONAL REFORM & CAPACITY BUILDING,Sierra Leone,"Government and civil society, general",2004,29421429.119000003
RY:Social Fund for Development IV,Yemen,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Government and civil society, general|Basic education",2010,61279055.0427
Benin Emergency Urban Env. Additional Financing,Benin,"Water supply and sanitation|General environmental protection|Government and civil society, general",2014,6400000.0
Emergency Economic Recovery Credit Project,Burundi,"Water supply and sanitation|Agriculture, forestry, fishing|Other|Health|Education, level unspecified",2000,44718740.3963
Second Primary Health Care and Nutrition Project,Iran,"Health|Government and civil society, general",2000,111158011.84200001
Secondary Educ. Development Program II,Tanzania,Secondary education,2010,153197637.607
Governance II,Democratic Republic of Congo,"Government and civil society, general",2013,69153581.6453
Seventh Poverty Reduction Support Credit (PRSC7),Uganda,"Education, level unspecified|Health|Government and civil society, general|Agriculture, forestry, fishing",2008,208797161.002
Local Government Project (SLGP),Swaziland,"Transport and storage|General environmental protection|Government and civil society, general",2011,26900000.0
"CG-Add. Fin. Water, Electricity & Urban Dev. SIL",Congo,Energy generation and supply,2014,60000000.0
Mozambique - Integrated Growth Poles Project,Mozambique,Water supply and sanitation|Industry|Trade policy and regulations|Transport and storage,2013,103291384.08600001
LB-Cultural Heritage Add. Financing,Lebanon,Water supply and sanitation|Other social infrastructure and services|Industry|Transport and storage,2012,26509780.3465
TR Third Access to Finance for SMEs (SME III),Turkey,Banking and financial services,2013,309874152.257
DRC:Financial Infrastructure and Markets,Democratic Republic of Congo,Banking and financial services,2014,30000000.0
TG-Community Dev. Project ERL (FY08),Togo,"Other social infrastructure and services|Agriculture, forestry, fishing|Health|Government and civil society, general|Basic education",2008,17956555.8461
Ethiopia Protection of Basic Services Program Phase II Project,Ethiopia,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Agriculture, forestry, fishing",2009,558880954.734
Second Education Development Policy Loan,Morocco,"Education, level unspecified|Post-secondary education|Basic education|Government and civil society, general|Secondary education",2013,103291384.08600001
Second Private Sector Competitiveness and Economic Diversification Prj,Lesotho,"Banking and financial services|Trade policy and regulations|Industry|Government and civil society, general",2013,13531171.3152
Child Development Project,Yemen,"Other social infrastructure and services|Post-secondary education|Health|Government and civil society, general|Basic education",2000,36924902.7843
Cairo Airport Development Project-TB2,Egypt,Transport and storage,2010,285968923.532
AFCC2/RI Agricultural Productivity Program for Southern Africa (APPSA),Eastern Africa,"Agriculture, forestry, fishing|Agriculture",2013,92962245.677
Environmental and Social Capacity Building for the Energy Sector,Cameroon,"Energy generation and supply|Government and civil society, general",2008,20879716.1002
Cape Verde Road Sector Support Project 1st Additional Financ,Cabo Verde,"Government and civil society, general|Transport and storage",2008,5219929.02504
DJ Improving Health Sector Performance,Djibouti,"Health, general|Health",2013,7230396.885989999
Songo Songo Gas Development and Power Generation Project,Tanzania,"Mineral resources and mining|Other social infrastructure and services|Government and civil society, general|Energy generation and supply",2001,228648331.51900002
Urban Water Supply additional financing,Tunisia,Water supply and sanitation,2014,26200000.0
Regional Trade Facilitation Project (ATI) Supplemental Credit,Africa,Banking and financial services,2005,14169826.3207
Multisectoral HIV/AIDS Project,Central African Republic,"Other social infrastructure and services|Health|Government and civil society, general",2001,21240555.387000002
FOREST AND ENVIRONMENT DEVELOPMENT PROGRAM,Cameroon,"Forestry|Agriculture, forestry, fishing|Government and civil society, general",2006,27452582.1158
Community and Social Development Project,Burundi,"Other social infrastructure and services|Health|Government and civil society, general|Transport and storage|Education, level unspecified",2007,42685608.6047
Electricity Sector Support Project,Senegal,Energy generation and supply,2012,83456715.9058
Second National Urban Water Sector Reform Project (Additional Financing),Nigeria,Water supply and sanitation,2012,117821245.985
BENIN: Malaria Control Booster Program,Benin,"Other social infrastructure and services|Health|Government and civil society, general",2006,34041201.8235
Sustainable Coastal Tourism Development Project,Morocco,"Industry|Government and civil society, general",2000,2810892.25348
Urban Water Supply and Sanitation Project Additional Financing,Ethiopia,"Water supply and sanitation|Government and civil society, general",2012,147276557.481
Emergency Infrastructure Rehabilitation and Energy Project - Additional Financing,Togo,Transport and storage|General environmental protection|Energy generation and supply,2011,15000000.0
Mauritius - Economic Transition (TA) Project,Mauritius,"Water supply and sanitation|Banking and financial services|Trade policy and regulations|Energy generation and supply|Government and civil society, general",2009,18629365.1578
Health Transition Project,Turkey,"Health, general|Health|Government and civil society, general",2004,70988567.6314
Eritrea Education Sector Investment Project,Eritrea,"Education, level unspecified|Secondary education|Basic education",2003,54189563.7644
Road Asset Management Project - Additional Financing,Liberia,Transport and storage,2012,49092185.8269
ET Competitiveness and Job Creation Proj,Ethiopia,"Industry|Trade policy and regulations|Government and civil society, general|Secondary education",2014,250000000.0
SN-PRSC 2,Senegal,"Other social infrastructure and services|Health|Government and civil society, general",2006,32943098.5389
EMERGENCY DROUGHT RECOVERY PROJECT,Malawi,"Education, level unspecified|Other social infrastructure and services|Health|Government and civil society, general|Agriculture, forestry, fishing",2002,61476831.8657
Public Finance Recovery Adjustment Credit,Niger,"Communications|Government and civil society, general",2000,44718740.3963
Jordan Social Protection Enhancement Project,Jordan,"Other social infrastructure and services|Government and civil society, general",2008,4175943.2200300004
Forestry and Economic Diversification Project,Congo,Forestry|Agriculture,2012,9818437.165380001
Land Administration Project,Ghana,"Post-secondary education|Government and civil society, general|Agriculture, forestry, fishing",2003,24698398.9513
Productive Safety Nets APL II,Ethiopia,"Other social infrastructure and services|Government and civil society, general",2007,186749537.645
Economic Rehabilitation and Recovery Project Supplemental Credit Project,Sierra Leone,"Communications|Government and civil society, general|Other social infrastructure and services",2000,12776782.9704
Export Development II,Tunisia,"Banking and financial services|Industry|Government and civil society, general",2007,6402841.2907
Burundi - Financial & Private Sector Development,Burundi,Banking and financial services,2009,19664329.8888
Mozambique Mining and Gas Technical Assistance Project,Mozambique,Energy generation and supply,2013,51645692.0428
Niger Basin Water Resources Development and Sustainable Ecosystems Management Project,Western Africa,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2007,198488080.012
Poverty Reduction Support Credit (PRSC-7),Ghana,"Mineral resources and mining|Other social infrastructure and services|Government and civil society, general|Energy generation and supply",2011,215000000.0
Rwanda Second Support to Social Protection System,Rwanda,Other social infrastructure and services,2013,51645692.0428
Benin Emergency Urban Env. Project,Benin,Water supply and sanitation,2011,50000000.0
Zambia: Road Rehabilitation & Maintenance Project - Addtional Financing,Zambia,"Government and civil society, general|Transport and storage",2007,26678505.3779
ACBF Regional Capacity Building Project - SMTP 3,Africa,"Government and civil society, general",2013,67139399.6556
Promoting Partnerships with Traditional Authorities Project,Ghana,Other social infrastructure and services|Basic education,2003,6021062.64049
Second Multisectoral HIV/AIDS,Burundi,"Other social infrastructure and services|Health|Government and civil society, general",2008,15659787.0751
Mauritius Second Development Policy Loan (FY08),Mauritius,"Water supply and sanitation|Education, level unspecified|Government and civil society, general",2008,31319574.1503
SECOND POVERTY REDUCTION STRATEGY CREDIT,Benin,"Water supply and sanitation|Agriculture|Health|Government and civil society, general|Education, level unspecified",2005,34007583.1696
Southern Africa Trade and Transport Facilitation Project,Africa,"Health, general|Transport and storage",2013,220010648.102
Multi-sector Infrastructure Rehabilitation Project,Guinea-Bissau,"Water supply and sanitation|Transport and storage|Energy generation and supply|Government and civil society, general",2006,16471549.2695
HIV/AIDS Response Project,Sierra Leone,"Other social infrastructure and services|Health|Government and civil society, general",2002,18443049.5597
Water Sector Performance Improvement Project - Additional Financing,Zambia,Water supply and sanitation,2009,10349647.3099
Liberia Health Systems Strengthening,Liberia,"Post-secondary education|Health|Government and civil society, general|Health, general",2013,10329138.4086
AFCC2/RI-Lake Victoria Environmental Management Project (Burundi and Rwanda),Eastern Africa,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",2011,30000000.0
Yemen Public Finance Modernization Project - Additional Financing,Yemen,"Banking and financial services|Government and civil society, general",2013,5164569.20428
Kenya Infrastructure Finance/PPP project,Kenya,"Banking and financial services|Government and civil society, general|Transport and storage|Energy generation and supply",2012,39273748.6615
Mali - Second Transport Sector Project Additional Financing,Mali,Transport and storage,2011,23000000.0
Poverty Reduction Support Credit,Uganda,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Transport and storage",2001,187416665.18
Gabon Natural Resources Management Development Policy Loan,Gabon,"Forestry|Agriculture, forestry, fishing|Mineral resources and mining",2005,17003791.5848
Participatory Agricultural Development and Empowerment Project,Tanzania,"Industry|Agriculture|Government and civil society, general",2003,68134344.8397
AFCC2/RI-SAPP-Program for Accelerating Transformational Energy Projects,Eastern Africa,Energy generation and supply,2014,20000000.0
Senegal River Basin Multi-purpose Water Resources Development Project,Africa,"Water supply and sanitation|Health|Agriculture|Government and civil society, general",2006,120791361.309
Senegal Tertiary Education Governance and Financing For Results,Senegal,"Post-secondary education|Secondary education|Education, level unspecified",2011,101300000.0
Population and HIV AIDS Additional Financing,Chad,"Other social infrastructure and services|Health|Government and civil society, general",2010,20426351.6809
Disaster Risk Management Development Policy Loan with CAT DDO,Seychelles,"General environmental protection|Government and civil society, general",2014,7000000.0
Emergency Public Service Delivery,Guinea-Bissau,"Government and civil society, general|Basic education",2008,10439858.0501
Second National Water Development Project,Malawi,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general",2007,53357010.7559
NIGER COMMUNITY ACTION PROGRAM PHASE 3,Niger,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general|Other social infrastructure and services",2013,41316553.6342
Madagascar - Emergency Food Security and Reconstruction Project,Madagascar,Water supply and sanitation|Other social infrastructure and services|Transport and storage|Basic education,2008,41759432.2003
Mali - Multi-sectoral HIV/AIDS Project,Mali,"Other social infrastructure and services|Health|Government and civil society, general",2004,29866498.5085
Local Governance and Service Delivery Project,South Sudan,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general|Transport and storage|Other social infrastructure and services",2013,51645692.0428
MA-Solid Waste Sector DPL2,Morocco,Water supply and sanitation,2010,141554617.149
Rwanda Second Community Living Standards Grant,Rwanda,Other social infrastructure and services|Health,2010,6127905.504269999
TRANSPORT SECTOR PROJECT,Burkina Faso,"Government and civil society, general|Transport and storage",2003,110907973.838
Health Care Quality Improvement Project,Egypt,"Health, general",2009,77622354.8242
Central African Backbone - APL1A,Western Africa,"Other social infrastructure and services|Government and civil society, general|Communications",2009,27116075.9519
Partnership for Polio Eradication Project,Nigeria,Health,2003,34560899.5564
Transfrontier Conservation Areas and Tourism Development Project,Mozambique,"Agriculture, forestry, fishing|Industry|Government and civil society, general",2005,22671722.1131
Public Expenditure Adjustment Credit Project (02),Niger,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Mineral resources and mining",2003,78273814.3263
Sustainable Management of Mineral Resources Additional Financing,Uganda,Mineral resources and mining|Energy generation and supply,2008,5219929.02504
Malawi - Rapid Response Development Policy Grant,Malawi,"Other social infrastructure and services|Agriculture|Mineral resources and mining|Government and civil society, general",2012,49092185.8269
Alpha Maroc Project,Morocco,"Government and civil society, general|Basic education",2002,5041100.21299
Lesotho Water Sector Improvement Project,Lesotho,"Water supply and sanitation|Government and civil society, general",2004,16514416.8224
MA-Modernization of Irrigated Agriculture in the Oum Er Rbia Basin,Morocco,Agriculture,2010,71492230.8831
Mali Development Learning Center project - LIL,Mali,Secondary education,2004,2928088.08907
HIV/AIDS Prevention & Control Project,Senegal,"Other social infrastructure and services|Health|Government and civil society, general",2002,36886099.1194
Health System Strengthening for Better Maternal and Child Health Results Project (PDSS),Democratic Republic of Congo,Health,2014,220000000.0
Structural Adjustment Credit,Cabo Verde,"Government and civil society, general|Transport and storage|Mineral resources and mining",2001,18741666.518
Private Sector Renewable Energy and Energy Efficiency Project,Turkey,Energy generation and supply,2009,517482365.495
Addtional Financing for the Ghana Energy Development and Access Project (GEDAP),Ghana,Energy generation and supply,2010,71492230.8831
Value Chain Support Project,Chad,Trade policy and regulations|Industry|Agriculture,2014,10200000.0
Lower Kihansi Environmental Management Project,Tanzania,"Agriculture, forestry, fishing|Government and civil society, general",2001,7871499.93755
Post Primary Education and Training Program,Uganda,"Education, level unspecified|Post-secondary education|Secondary education",2009,155244709.648
Multisectoral Water and Electricity Infrastructure Project,Burundi,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2008,52199290.2504
Basic Education Expansion Project,Yemen,"Post-secondary education|Other social infrastructure and services|Government and civil society, general|Basic education",2000,71549984.634
Avian Influenza Control and Human Pandemic Preparedness and Response Project for Nigeria,Nigeria,"Other social infrastructure and services|Agriculture|Government and civil society, general|Health",2006,54905164.2315
Togo - Private Sector Development Support Project,Togo,"Trade policy and regulations|Government and civil society, general",2011,13000000.0
WAPP APL 1 (1st Phase - COASTAL TRANSMISSION BACKBONE),Africa,Energy generation and supply,2005,45343444.2261
"Ethiopia Water Supply, Sanitation and Hygiene Project",Ethiopia,"Water supply and sanitation|Government and civil society, general",2014,205000000.0
TG - Economic Recovery and Governance Credit 6,Togo,"Communications|Banking and financial services|Agriculture|Energy generation and supply|Government and civil society, general",2013,14460793.772
Guinea-Bissau Biodiversity Conservation Project,Guinea-Bissau,"Agriculture, forestry, fishing",2011,1950000.0
Sustainability and Competitiveness DPL 2,Seychelles,"Trade policy and regulations|Agriculture|Energy generation and supply|Government and civil society, general|Other social infrastructure and services",2013,7230396.885989999
Benin Community Development Project Additional Financing,Benin,Other social infrastructure and services|Banking and financial services,2010,12255811.0085
Social Welfare Fund Institutional Support Project,Yemen,Other social infrastructure and services,2010,10213175.8404
Energy Sector Capacity Building Project (ESCBP),Tanzania,Mineral resources and mining|Energy generation and supply,2013,22166331.0248
First Part of the Second Phase of the Niger Basin Water Resources Development and Sustainable Ecosystems Management Program - APL 2A,Africa,"Water supply and sanitation|Other social infrastructure and services|Agriculture|Government and civil society, general",2012,199314274.45700002
PRSC 1,Mali,"Banking and financial services|Agriculture|Government and civil society, general|Transport and storage",2007,48021309.6803
Poverty Reduction Support Credit (4),Burkina Faso,"Communications|Health|Government and civil society, general|Energy generation and supply|Basic education",2004,70274114.1377
BF-Competitiveness & Enterprise Development Project,Burkina Faso,"Communications|Industry|Government and civil society, general",2003,36969324.6126
TZ Big Results Now in Education Program,Tanzania,"Education, level unspecified|Basic education|Secondary education",2014,122000000.0
THIRD PHASE OF THE ROAD DEVELOPMENT PROGRAM,Uganda,Transport and storage,2004,126024911.354
LB - Ba'albeck Water and Wastewater Project,Lebanon,"Water supply and sanitation|Government and civil society, general",2002,53521729.8223
"Madagascar Emergency Support to Critical Education, Health and Nutrition Services Project",Madagascar,Health|Basic education,2012,63819841.575
Development Learning Center project,Malawi,Secondary education,2004,4684940.9425099995
Public Sector Management Program Support Project,Zambia,"Banking and financial services|Government and civil society, general",2006,32943098.5389
Lagos Urban Transport Project,Nigeria,"Transport and storage|Government and civil society, general",2002,122953663.731
Supplemental Credit to the National Water Development Project,Malawi,Water supply and sanitation,2002,3934517.23941
Structural Adjustment Credit Supplement,Cabo Verde,"Government and civil society, general",2002,4918146.54926
Kenya - Energy Sector Recovery Project Additional Financing,Kenya,Energy generation and supply,2009,82797178.4792
Rwanda Public Sector Governance Program For Results,Rwanda,"Government and civil society, general",2014,100000000.0
BURUNDI- ERC,Burundi,"Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Other social infrastructure and services",2002,66394978.415
LVEMP Supplemental,Tanzania,"Water supply and sanitation|Post-secondary education|Agriculture|Government and civil society, general|Other social infrastructure and services",2001,6247222.17266
IR-NORTHERN CITIES WATER SUPPLY & SANITATION PROJECT,Iran,Water supply and sanitation,2005,253923287.66599998
Burundi Road Sector Development Additional Financing - SIM,Burundi,Transport and storage,2011,19000000.0
DJ-Rural Community Development & Water Mobilization / PRODERMO,Djibouti,Water supply and sanitation|Agriculture,2011,5830000.0
Financial Infrastructure Project,Yemen,Communications|Banking and financial services,2013,20658276.8171
Supplemental Fiscal Sustainability Credit Project,Zambia,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Energy generation and supply|Mineral resources and mining",2000,2683124.42378
Financial Sector Supervisory Authority Project,Mauritius,"Government and civil society, general",2001,2261494.4265
Agricultural Diversification and Market Development Project,Burkina Faso,"Industry|Agriculture|Government and civil society, general",2006,72474816.7856
Second Agricultural Research and Technology Additional Financing,Uganda,"Agriculture|Government and civil society, general",2007,12805682.5814
TG-Economic Recovery & Gov. Grant 4,Togo,"Energy generation and supply|Agriculture|Government and civil society, general|Mineral resources and mining",2011,28000000.0
Poverty Reduction Support Credit (5),Burkina Faso,"Education, level unspecified|Industry|Health|Government and civil society, general|Agriculture, forestry, fishing",2005,68015166.3392
Lagos Metropolitan Development and Governance Project,Nigeria,"Water supply and sanitation|Other social infrastructure and services|General environmental protection|Government and civil society, general",2006,219620656.926
MA Accountability and Transparency DPL,Morocco,"Government and civil society, general",2013,206582768.17099997
POST-REUNIFICATION ECONOMIC RECOVERY CREDIT,Democratic Republic of Congo,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",2004,234247047.126
Coastal and Biodiversity Management Project,Guinea-Bissau,"Agriculture, forestry, fishing|Government and civil society, general|Other social infrastructure and services",2004,3513705.7068800004
EG-MORTGAGE FINANCE,Egypt,Banking and financial services,2006,40739631.8598
Emergency Infrastructure Rehabilitation Project - Additional Financing,Liberia,Water supply and sanitation|Other social infrastructure and services|Transport and storage,2009,8486710.79411
Basic Education 2 Project (APL #2),Turkey,"Secondary education|Government and civil society, general|Basic education",2002,368860991.194
Distance Learning Project,Cote D'Ivoire,Communications,2000,2555356.59407
Second Health Sector Program Support Project,Ghana,Health,2003,107897442.51799999
First Water Sector Development Policy Loan,Morocco,Water supply and sanitation|Agriculture,2007,106714021.51200001
WAPP: The First Phase of the Inter-Zonal Transmission Hub Project of the WAPP (APL3) Program,Western Africa,Communications|Energy generation and supply,2011,41900000.0
Comoros Development Policy Grant,Comoros,"Government and civil society, general",2010,3063952.75213
Economic Governance Reform Project,Guinea-Bissau,"Government and civil society, general",2009,8279717.84792
JO-AMMAN SOLID WASTE MANAGEMENT AND CARBON FINANCE,Jordan,Water supply and sanitation,2008,26099645.1252
Development Policy Operation DPO I FY07,Central African Republic,"Forestry|Communications|Mineral resources and mining|Government and civil society, general",2006,90044469.3397
Budget Support,Gambia,"Industry|Government and civil society, general",2009,7244753.1169300005
CAR - Emergency Power Response Project,Central African Republic,Water supply and sanitation|Energy generation and supply,2009,8279717.84792
EG - Helwan South Power Project,Egypt,Mineral resources and mining|Energy generation and supply,2013,604667762.4369999
WATER AND SANITATION SERVICE IMPROVEMENT PROJECT - Additional Financing,Kenya,Water supply and sanitation,2012,294553114.962
ET: Agricultural Growth Program,Ethiopia,"Agriculture, forestry, fishing|Industry|Agriculture",2010,153197637.607
Regional Trade Facilitation Project - Malawi,Malawi,Banking and financial services,2001,18741666.518
STP DPL - PUBLIC MANAGEMENT AND GOVERNANCE,Sao Tome and Principe,"Government and civil society, general",2011,4200000.0
Egypt Emergency Labor Intensive Investment Project,Egypt,Other social infrastructure and services,2012,196368743.308
Economic Recovery and Gov. Grant 3,Togo,"Energy generation and supply|Agriculture|Government and civil society, general|Mineral resources and mining",2010,16647476.6199
Education for All Project,Guinea,"Post-secondary education|Education, level unspecified|Basic education|Government and civil society, general|Secondary education",2001,87461110.4173
Protected Areas Management and Sustainable Use Project,Uganda,"Agriculture, forestry, fishing|Government and civil society, general|Other social infrastructure and services",2002,33197489.2075
Pastoral Community Development Project II,Ethiopia,"Water supply and sanitation|Other social infrastructure and services|Education, level unspecified|Agriculture|Agriculture, forestry, fishing",2008,83518864.4007
Health Sector Support & Multisectoral AIDS Project,Burkina Faso,"Other social infrastructure and services|Health|Government and civil society, general",2006,52379526.6769
Housing Sector Development Policy Loan,Morocco,"Banking and financial services|Other|Government and civil society, general",2005,170037915.848
Mitigate the Impact of Syrian Displacement on Jordan,Jordan,Other social infrastructure and services|Health,2013,154937076.128
Second School Access and Improvement,Djibouti,"Basic education|Government and civil society, general|Secondary education",2005,11335861.0565
Education Sector Support Project 1,Malawi,"Post-secondary education|Secondary education|Health|Government and civil society, general|Basic education",2005,36501472.602
Tanzania Second Social Action Fund,Tanzania,Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Basic education,2004,175685285.344
ISMEP - ADDITIONAL FINANCING,Turkey,"Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",2011,150000000.0
Emergency Infrastructure Rehabilitation and Energy Project,Togo,Water supply and sanitation|Transport and storage|General environmental protection|Energy generation and supply,2009,25874118.2747
AFCC2/RI-3A-Southern Afr Power Mrkt APL 1 (FY04),Eastern Africa,Energy generation and supply,2003,215072357.518
Access to Finance for SMEs,Turkey,"Banking and financial services|Government and civil society, general",2006,197889192.92299998
CF-Support to Vulnerable Groups Community Development Project,Central African Republic,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general|Transport and storage|Other social infrastructure and services",2009,8279717.84792
First Education Development Policy Loan,Morocco,Secondary education|Basic education,2010,61279055.0427
Privatization Social Support Project 2,Turkey,"Education, level unspecified|Government and civil society, general|Other social infrastructure and services",2005,527570973.571
Eritrea: Emergency Reconstruction Supplemental Project,Eritrea,"Agriculture, forestry, fishing|Other social infrastructure and services",2003,18063187.9215
